"id","code","name"
activity_353001,353001,FABRICACIÓN DE AERONAVES Y NAVES ESPACIALES Y MAQUINARIA CONEXA
activity_359101,359101,"FABRICACIÓN DE MOTOCICLETAS, PARTES, PIEZAS Y SUS ACCESORIOS"
activity_359201,359201,"FABRICACION DE BICICLETAS Y SILLAS DE RUEDAS, PARTES, PIEZAS Y SUS ACCESORIOS"
activity_359901,359901,FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.
activity_361001,361001,FABRICACION Y/O REPARACION DE MUEBLES Y ACCESORIOS (INCLUYECOLCHONES)
activity_361002,361002,REPARACIóN DE TAPICERíA
activity_361004,361004,MAQUILA DE MUEBLES
activity_369101,369101,"FABRICACIÓN DE JOYAS, BISUTERIA Y ARTÍCULOS CONEXOS"
activity_369201,369201,"FABRICACION DE INSTRUMENTOS MUSICALES, PARTES Y PIEZAS Y SUS ACCESORIOS"
activity_369301,369301,FABRICACIÓN DE ARTÍCULOS DE DEPORTE
activity_369401,369401,FABRICACION DE JUEGOS Y JUGUETES
activity_369901,369901,FABRICACIÓN DE  ESCOBAS
activity_369902,369902,"FABRICACIóN DE VELAS (CANDELAS) EXCEPTO LAS PERFUMADAS, COLOREADAS Y DECORADAS."
activity_369903,369903,"FABRICACIóN DE VELAS COLOREADAS, PERFUMADAS Y DECORADAS"
activity_369904,369904,"FABRICACION DE SELLOS DE MANO, METAL O HULE (CAUCHO)"
activity_371001,371001,RECICLAJE DE DESPERDICIOS Y DESECHOS METáLICOS
activity_372001,372001,RECICLAJE DE OTRO TIPO DE MATERIALES N.C.P.
activity_372003,372003,RECICLAJE DE PAPEL Y PLASTICO Y MATERIALES RELACIONADOS
activity_401002,401002,"GENERACIÓN Y/O DISTRIBUCION DE ENERGIA ELECTRICA (HIDRAULICA,CONVENCIONAL, TERMI"
activity_401004,401004,"FABRICACION, ENSAMBLE Y VENTA DE SISTEMAS PARA EL APROVECHAMIENTO DE ENERGIAS RE"
activity_402001,402001,FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍAS
activity_402002,402002,INSTALACION Y VENTA DE TANQUES PARA GAS
activity_403001,403001,SUMINISTRO DE VAPOR Y AIRE ACONDICIONADO
activity_410001,410001,"CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA"
activity_451001,451001,DEMOLICION DE EDIFICIOS Y OTRAS ESTRUCTURAS
activity_451002,451002,PREPARACIóN DE TERRENOS
activity_452002,452002,"CONSTRUCCION DE EDIFICIOS, APARTAMENTOS, CONDOMINIOS  Y CASAS DE HABITACION"
activity_452003,452003,"MANTENIMIENTO, REPARACION Y AMPLIACIONES DE EDIFICIOS, APARTAMENTOS, CONDOMINIOS"
activity_452005,452005,CONSTRUCCION Y MANTENIMIENTO DE CARRETERAS Y OTRAS VIAS
activity_452006,452006,ACTIVIDADES DE CONSTRUCCIÓN ESPECIALES
activity_453001,453001,REPARACION DE AIRE ACONDICIONADO
activity_453002,453002,REPARACIóN  DE ASCENSORES(ELEVADORES)
